Time	Channel B
(s)	(V)

5.46399986	-1.19484800
5.46419986	-1.19478700
5.46439986	-1.19472600
5.46459986	-1.19466500
5.46479986	-1.19466500
5.46499986	-1.19478700
5.46519986	-1.19490900
5.46539986	-1.19497000
5.46559986	-1.19509200
5.46579986	-1.19515300
5.46599986	-1.19509200
5.46619986	-1.19515300
5.46639986	-1.19515300
5.46659986	-1.19527500
5.46679986	-1.19545800
5.46699986	-1.19558000
5.46719986	-1.19564200
5.46739986	-1.19558000
5.46759986	-1.19545800
5.46779986	-1.19527500
5.46799986	-1.19527500
5.46819986	-1.19533600
5.46839986	-1.19539700
5.46859986	-1.19551900
5.46879986	-1.19551900
5.46899986	-1.19545800
5.46919986	-1.19533600
5.46939986	-1.19521400
5.46959986	-1.19503100
5.46979986	-1.19497000
5.46999986	-1.19497000
5.47019986	-1.19503100
5.47039986	-1.19509200
5.47059986	-1.19521400
5.47079986	-1.19533600
5.47099986	-1.19533600
5.47119986	-1.19539700
5.47139986	-1.19545800
5.47159986	-1.19558000
5.47179986	-1.19570300
5.47199986	-1.19594700
5.47219986	-1.19625200
5.47239986	-1.19661800
5.47259986	-1.19698500
5.47279986	-1.19729000
5.47299986	-1.19741200
5.47319986	-1.19741200
5.47339986	-1.19722900
5.47359986	-1.19692300
5.47379986	-1.19655700
5.47399986	-1.19631300
5.47419986	-1.19619100
5.47439986	-1.19625200
5.47459986	-1.19637400
5.47479986	-1.19655700
5.47499986	-1.19674000
5.47519986	-1.19686200
5.47539986	-1.19692300
5.47559986	-1.19692300
5.47579986	-1.19698500
5.47599986	-1.19704600
5.47619986	-1.19716800
5.47639986	-1.19729000
5.47659986	-1.19735100
5.47679986	-1.19741200
5.47699986	-1.19735100
5.47719986	-1.19741200
5.47739986	-1.19741200
5.47759986	-1.19759500
5.47779986	-1.19759500
5.47799986	-1.19753400
5.47819986	-1.19735100
5.47839986	-1.19716800
5.47859986	-1.19692300
5.47879986	-1.19680100
5.47899986	-1.19686200
5.47919986	-1.19704600
5.47939986	-1.19722900
5.47959986	-1.19735100
5.47979986	-1.19735100
5.47999986	-1.19735100
5.48019986	-1.19722900
5.48039986	-1.19710700
5.48059986	-1.19704600
5.48079986	-1.19710700
5.48099986	-1.19722900
5.48119986	-1.19735100
5.48139986	-1.19753400
5.48159986	-1.19753400
5.48179986	-1.19753400
5.48199986	-1.19741200
5.48219986	-1.19722900
5.48239986	-1.19704600
5.48259986	-1.19692300
5.48279986	-1.19686200
5.48299986	-1.19680100
5.48319986	-1.19686200
5.48339986	-1.19698500
5.48359986	-1.19710700
5.48379986	-1.19729000
5.48399986	-1.19753400
5.48419986	-1.19777800
5.48439986	-1.19790000
5.48459986	-1.19790000
5.48479986	-1.19783900
5.48499986	-1.19765600
5.48519986	-1.19759500
5.48539986	-1.19771700
5.48559986	-1.19796100
5.48579986	-1.19826600
5.48599986	-1.19851100
5.48619986	-1.19863300
5.48639986	-1.19844900
5.48659986	-1.19814400
5.48679986	-1.19777800
5.48699986	-1.19753400
5.48719986	-1.19735100
5.48739986	-1.19735100
5.48759986	-1.19747300
5.48779986	-1.19765600
5.48799986	-1.19783900
5.48819986	-1.19814400
5.48839986	-1.19844900
5.48859986	-1.19881600
5.48879986	-1.19912100
5.48899986	-1.19936500
5.48919986	-1.19948700
5.48939986	-1.19948700
5.48959986	-1.19942600
5.48979986	-1.19924300
5.48999986	-1.19906000
5.49019986	-1.19881600
5.49039986	-1.19857200
5.49059986	-1.19838800
5.49079986	-1.19838800
5.49099986	-1.19844900
5.49119986	-1.19857200
5.49139986	-1.19863300
5.49159986	-1.19875500
5.49179986	-1.19881600
5.49199986	-1.19887700
5.49219986	-1.19893800
5.49239986	-1.19906000
5.49259986	-1.19918200
5.49279986	-1.19924300
5.49299986	-1.19930400
5.49319986	-1.19936500
5.49339986	-1.19936500
5.49359986	-1.19948700
5.49379986	-1.19954800
5.49399986	-1.19967000
5.49419986	-1.19967000
5.49439986	-1.19967000
5.49459986	-1.19960900
5.49479986	-1.19954800
5.49499986	-1.19954800
5.49519986	-1.19960900
5.49539986	-1.19973100
5.49559986	-1.19985400
5.49579986	-1.20003700
5.49599986	-1.20015900
5.49619986	-1.20015900
5.49639986	-1.20003700
5.49659986	-1.19985400
5.49679986	-1.19954800
5.49699986	-1.19936500
5.49719986	-1.19918200
5.49739986	-1.19918200
5.49759986	-1.19936500
5.49779986	-1.19967000
5.49799986	-1.19991500
5.49819986	-1.20022000
5.49839986	-1.20028100
5.49859986	-1.20028100
5.49879986	-1.20015900
5.49899986	-1.20003700
5.49919986	-1.19985400
5.49939986	-1.19973100
5.49959986	-1.19967000
5.49979986	-1.19973100
5.49999986	-1.19985400
5.50019986	-1.20009800
5.50039986	-1.20040300
5.50059986	-1.20064700
5.50079986	-1.20076900
5.50099986	-1.20083000
5.50119986	-1.20083000
5.50139986	-1.20076900
5.50159986	-1.20076900
5.50179986	-1.20076900
5.50199986	-1.20083000
5.50219986	-1.20083000
5.50239986	-1.20076900
5.50259986	-1.20064700
5.50279986	-1.20052500
5.50299986	-1.20028100
5.50319986	-1.20003700
5.50339986	-1.19979300
5.50359986	-1.19973100
5.50379986	-1.19979300
5.50399986	-1.20009800
5.50419986	-1.20040300
5.50439986	-1.20076900
5.50459986	-1.20089100
5.50479986	-1.20089100
5.50499986	-1.20070800
5.50519986	-1.20046400
5.50539986	-1.20022000
5.50559986	-1.20009800
5.50579986	-1.20015900
5.50599986	-1.20034200
5.50619986	-1.20046400
5.50639986	-1.20058600
5.50659986	-1.20076900
5.50679986	-1.20083000
5.50699986	-1.20083000
5.50719986	-1.20089100
5.50739986	-1.20089100
5.50759986	-1.20101300
5.50779986	-1.20119600
5.50799986	-1.20150200
5.50819986	-1.20186800
5.50839986	-1.20229500
5.50859986	-1.20253900
5.50879986	-1.20266200
5.50899986	-1.20253900
5.50919986	-1.20229500
5.50939986	-1.20205100
5.50959986	-1.20186800
5.50979986	-1.20180700
5.50999986	-1.20192900
5.51019986	-1.20205100
5.51039986	-1.20223400
5.51059986	-1.20223400
5.51079986	-1.20229500
5.51099986	-1.20223400
5.51119986	-1.20223400
5.51139986	-1.20229500
5.51159986	-1.20235600
5.51179986	-1.20235600
5.51199986	-1.20229500
5.51219986	-1.20229500
5.51239986	-1.20229500
5.51259986	-1.20241700
5.51279986	-1.20260000
5.51299986	-1.20284500
5.51319986	-1.20302800
5.51339986	-1.20315000
5.51359986	-1.20315000
5.51379986	-1.20296700
5.51399986	-1.20278400
5.51419986	-1.20247800
5.51439986	-1.20217300
5.51459986	-1.20199000
5.51479986	-1.20186800
5.51499986	-1.20186800
5.51519986	-1.20186800
5.51539986	-1.20192900
5.51559986	-1.20205100
5.51579986	-1.20223400
5.51599986	-1.20241700
5.51619986	-1.20260000
5.51639986	-1.20278400
5.51659986	-1.20296700
5.51679986	-1.20302800
5.51699986	-1.20302800
5.51719986	-1.20296700
5.51739986	-1.20284500
5.51759986	-1.20284500
5.51779986	-1.20278400
5.51799986	-1.20284500
5.51819986	-1.20284500
5.51839986	-1.20278400
5.51859986	-1.20272300
5.51879986	-1.20266200
5.51899986	-1.20266200
5.51919986	-1.20284500
5.51939986	-1.20308900
5.51959986	-1.20345500
5.51979986	-1.20369900
5.51999986	-1.20394300
5.52019986	-1.20406500
