Time	Channel A
(s)	(V)

5.85862469	-1.72384300
5.85887471	-1.72872700
5.85912472	-1.72872700
5.85937474	-1.71896000
5.85962475	-1.73849300
5.85987477	-1.73849300
5.86012479	-1.71896000
5.86037480	-1.72384300
5.86062482	-1.73849300
5.86087483	-1.74826000
5.86112485	-1.73361000
5.86137487	-1.70919300
5.86162488	-1.72872700
5.86187490	-1.74337700
5.86212491	-1.73361000
5.86237493	-1.73849300
5.86262495	-1.73849300
5.86287496	-1.72872700
5.86312498	-1.73849300
5.86337499	-1.74826000
5.86362501	-1.72872700
5.86387503	-1.73849300
5.86412504	-1.72872700
5.86437506	-1.73361000
5.86462507	-1.73849300
5.86487509	-1.71896000
5.86512511	-1.71407600
5.86537512	-1.71407600
5.86562514	-1.72384300
5.86587515	-1.72872700
5.86612517	-1.72384300
5.86637519	-1.72872700
5.86662520	-1.72872700
5.86687522	-1.71896000
5.86712523	-1.73849300
5.86737525	-1.73361000
5.86762527	-1.74337700
5.86787528	-1.71896000
5.86812530	-1.73361000
5.86837531	-1.74337700
5.86862533	-1.73361000
5.86887535	-1.73849300
5.86912536	-1.73849300
5.86937538	-1.73849300
5.86962539	-1.74337700
5.86987541	-1.73361000
5.87012543	-1.74337700
5.87037544	-1.74337700
5.87062546	-1.76291000
5.87087547	-1.73849300
5.87112549	-1.73361000
5.87137551	-1.72872700
5.87162552	-1.73849300
5.87187554	-1.72872700
5.87212555	-1.73361000
5.87237557	-1.73849300
5.87262559	-1.71407600
5.87287560	-1.73849300
5.87312562	-1.73361000
5.87337563	-1.73361000
5.87362565	-1.74337700
5.87387567	-1.74337700
5.87412568	-1.74337700
5.87437570	-1.72872700
5.87462571	-1.72872700
5.87487573	-1.73849300
5.87512575	-1.73361000
5.87537576	-1.73849300
5.87562578	-1.73361000
5.87587579	-1.73361000
5.87612581	-1.73849300
5.87637583	-1.74337700
5.87662584	-1.73849300
5.87687586	-1.73849300
5.87712587	-1.73361000
5.87737589	-1.75314400
5.87762591	-1.71407600
5.87787592	-1.72872700
5.87812594	-1.72872700
5.87837595	-1.71896000
5.87862597	-1.73361000
5.87887599	-1.73849300
5.87912600	-1.72872700
5.87937602	-1.74337700
5.87962603	-1.73849300
5.87987605	-1.74337700
5.88012607	-1.73849300
5.88037608	-1.73361000
5.88062610	-1.73849300
5.88087611	-1.71896000
5.88112613	-1.71896000
5.88137615	-1.73849300
5.88162616	-1.74337700
5.88187618	-1.72872700
5.88212619	-1.74337700
5.88237621	-1.73361000
5.88262623	-1.74337700
5.88287624	-1.74826000
5.88312626	-1.73361000
5.88337627	-1.71407600
5.88362629	-1.72872700
5.88387631	-1.73849300
5.88412632	-1.73849300
5.88437634	-1.73361000
5.88462635	-1.73361000
5.88487637	-1.72872700
5.88512639	-1.73849300
5.88537640	-1.72384300
5.88562642	-1.72384300
5.88587643	-1.73849300
5.88612645	-1.70919300
5.88637647	-1.74337700
5.88662648	-1.72872700
5.88687650	-1.73849300
5.88712651	-1.71896000
5.88737653	-1.73361000
5.88762655	-1.73849300
5.88787656	-1.73849300
